customer_id,signup_date,customer_segment,subscription_plan,monthly_value,contract_type,onboarding_completed,days_to_first_value,features_adopted,feature_adoption_rate,activation_trifecta,cs_touchpoints,days_since_login,support_tickets,months_as_customer,nps_score,payment_failures,referred_by_partner,churn_risk_score,churned
NC-00001,2024-10-16,Small Business,Starter,33.13,Monthly,0,18,2,0.17,1,0,35,0,2,6,0,0,67.1,1
NC-00002,2023-04-25,Enterprise,Business,157.14,Annual,0,13,1,0.08,0,3,35,0,19,2,0,0,73.1,1
NC-00003,2023-01-26,Mid-Market,Growth,87.78,Annual,0,21,2,0.17,0,1,42,0,19,5,0,0,82.3,0
NC-00004,2023-10-09,Mid-Market,Business,147.97,Monthly,0,9,2,0.17,0,0,60,1,20,6,0,1,91.0,1
NC-00005,2023-09-08,Small Business,Starter,33.94,Monthly,1,3,2,0.17,1,0,14,1,5,10,0,0,40.8,0
NC-00006,2023-08-17,Small Business,Growth,87.32,Monthly,0,17,1,0.08,0,0,49,0,5,5,0,0,93.0,1
NC-00007,2023-05-23,Small Business,Starter,29.38,Annual,0,14,1,0.08,1,1,52,4,20,5,0,0,74.2,1
NC-00008,2023-04-15,Enterprise,Enterprise,490.57,Monthly,1,4,8,0.67,1,2,8,1,24,7,1,0,22.2,0
NC-00009,2024-11-23,Mid-Market,Business,167.31,Monthly,0,21,3,0.25,0,0,37,2,23,2,1,0,81.2,1
NC-00010,2024-07-12,Mid-Market,Growth,84.3,Annual,1,4,4,0.33,0,2,15,1,23,6,0,0,46.2,0
NC-00011,2023-03-31,Small Business,Starter,34.28,Monthly,1,3,8,0.67,1,0,9,1,15,7,0,0,21.5,0
NC-00012,2024-08-27,Enterprise,Enterprise,698.49,Annual,0,21,1,0.08,0,3,38,0,9,6,1,0,75.5,1
NC-00013,2024-03-08,Enterprise,Enterprise,604.65,Annual,0,19,1,0.08,0,2,52,3,7,0,0,0,80.2,1
NC-00014,2023-02-02,Small Business,Starter,26.16,Monthly,1,5,6,0.5,1,0,6,0,5,8,0,1,34.2,0
NC-00015,2023-01-31,Small Business,Starter,27.91,Monthly,0,14,2,0.17,0,0,32,4,3,7,3,0,83.0,1
NC-00016,2023-04-06,Small Business,Starter,34.69,Monthly,0,7,1,0.08,1,0,14,0,24,4,0,0,65.6,1
NC-00017,2023-08-12,Small Business,Growth,76.39,Annual,0,14,1,0.08,0,1,28,0,21,0,0,0,80.6,1
NC-00018,2023-08-27,Mid-Market,Business,133.73,Annual,0,13,1,0.08,0,2,30,2,18,3,1,0,78.9,0
NC-00019,2024-06-01,Mid-Market,Growth,84.15,Monthly,0,15,2,0.17,1,1,30,1,16,3,0,0,62.6,0
NC-00020,2024-09-08,Small Business,Growth,84.68,Annual,0,14,2,0.17,0,1,47,2,13,3,2,0,85.8,1
NC-00021,2023-01-28,Mid-Market,Growth,75.71,Annual,0,18,2,0.17,1,0,19,1,18,1,1,0,61.6,1
NC-00022,2024-07-28,Small Business,Starter,27.98,Monthly,1,6,3,0.25,1,1,15,1,17,7,2,0,42.4,0
NC-00023,2023-07-23,Small Business,Starter,29.69,Monthly,1,7,5,0.42,1,1,0,0,17,9,0,0,21.4,1
NC-00024,2024-10-27,Small Business,Starter,25.22,Monthly,1,6,8,0.67,1,0,10,2,12,4,0,0,24.1,0
NC-00025,2024-12-19,Mid-Market,Growth,85.79,Annual,0,14,2,0.17,0,0,47,1,10,4,0,0,86.3,1
NC-00026,2024-07-12,Mid-Market,Growth,76.34,Monthly,1,5,6,0.5,1,0,11,0,20,7,0,0,30.7,0
NC-00027,2024-03-05,Small Business,Starter,33.54,Monthly,1,8,6,0.5,1,0,13,0,15,8,0,0,32.6,1
NC-00028,2023-08-14,Mid-Market,Business,162.11,Annual,0,11,2,0.17,0,2,31,2,21,6,0,1,72.7,1
NC-00029,2024-04-04,Mid-Market,Business,156.46,Monthly,0,23,2,0.17,0,0,53,0,15,4,0,0,87.7,1
NC-00030,2024-08-26,Small Business,Starter,28.25,Monthly,0,14,1,0.08,0,1,24,3,11,7,0,0,75.1,1
NC-00031,2023-10-12,Mid-Market,Business,150.65,Monthly,1,5,7,0.58,1,1,4,2,10,6,0,1,23.2,0
NC-00032,2023-01-07,Small Business,Starter,29.45,Monthly,1,5,3,0.25,1,1,18,0,14,10,1,1,39.9,0
NC-00033,2023-06-13,Small Business,Starter,28.39,Monthly,1,5,8,0.67,1,0,8,3,13,7,0,0,21.3,0
NC-00034,2024-12-15,Enterprise,Enterprise,724.07,Monthly,1,9,4,0.33,1,5,12,3,23,5,0,0,26.0,0
NC-00035,2024-03-08,Enterprise,Enterprise,541.75,Annual,1,4,7,0.58,1,4,10,3,16,5,0,1,16.9,0
NC-00036,2023-12-15,Mid-Market,Growth,86.65,Annual,1,1,5,0.42,1,2,11,0,16,8,1,0,26.0,0
NC-00037,2023-10-12,Small Business,Starter,26.05,Monthly,1,5,5,0.42,1,0,0,2,9,6,1,0,32.8,1
NC-00038,2023-06-09,Small Business,Growth,72.82,Monthly,0,17,3,0.25,0,0,40,1,13,5,1,0,88.8,1
NC-00039,2023-08-09,Mid-Market,Growth,89.55,Annual,1,6,7,0.58,1,0,8,1,14,8,2,0,24.8,0
NC-00040,2023-12-11,Mid-Market,Business,153.51,Annual,1,6,5,0.42,1,2,12,1,15,6,1,0,27.3,0
NC-00041,2023-04-15,Small Business,Starter,30.1,Monthly,0,17,3,0.25,0,1,23,0,17,5,0,1,68.3,1
NC-00042,2023-04-05,Mid-Market,Business,150.93,Annual,0,19,2,0.17,0,1,52,0,22,1,0,0,80.6,1
NC-00043,2024-01-25,Small Business,Growth,74.31,Monthly,0,18,1,0.08,0,0,16,2,1,2,0,0,77.3,1
NC-00044,2023-04-10,Enterprise,Enterprise,659.35,Annual,0,25,1,0.08,0,6,28,4,16,5,0,0,70.2,1
NC-00045,2024-01-03,Small Business,Starter,25.85,Monthly,0,16,2,0.17,0,0,11,0,19,5,1,0,70.3,1
NC-00046,2023-12-19,Mid-Market,Growth,81.47,Monthly,0,15,3,0.25,0,0,18,1,19,4,0,0,77.6,1
NC-00047,2024-09-10,Small Business,Growth,81.42,Monthly,0,21,2,0.17,0,0,35,0,2,3,1,1,83.4,1
NC-00048,2023-09-28,Mid-Market,Growth,88.28,Annual,0,14,3,0.25,0,0,55,1,4,4,0,0,85.3,1
NC-00049,2023-02-14,Mid-Market,Growth,80.52,Annual,1,5,4,0.33,0,1,8,0,5,8,0,0,44.3,0
NC-00050,2024-04-15,Small Business,Starter,26.37,Monthly,0,17,1,0.08,0,0,15,2,6,3,0,0,80.4,1
NC-00051,2024-07-03,Enterprise,Enterprise,586.38,Annual,0,17,1,0.08,0,2,3,1,8,2,0,1,65.1,0
NC-00052,2023-05-08,Mid-Market,Growth,71.83,Monthly,0,27,2,0.17,0,2,45,0,8,4,0,0,77.7,1
NC-00053,2024-01-23,Enterprise,Enterprise,401.9,Annual,0,22,2,0.17,0,5,25,2,24,7,0,0,62.2,0
NC-00054,2023-03-22,Enterprise,Enterprise,315.55,Annual,0,22,3,0.25,0,5,27,1,21,2,0,0,66.2,0
